field_1,MGRSid10,center_lon,center_lat,grid20id,Longitude,Latitude,ESy1,Location_u,Releve_are,PlantBert1,PlantBert2,SurveyID,year,FIRST_shor
3285,34TEM79625977,21.962742899999999,42.086016399999998,34σEM32,21.962710999999999,42.086008000000000,?,10.000000000000000,100.000000000000000,R1B,U37,SPlotOpen_220328,2004,continental
3286,34TEM79675965,21.963331100000001,42.084930700000001,34σEM32,21.963367000000002,42.084969000000001,?,10.000000000000000,100.000000000000000,R1A,R1B,SPlotOpen_220329,2004,continental
3287,34TEM79595972,21.962373500000002,42.085569200000002,34σEM32,21.962342000000000,42.085597000000000,E11b,10.000000000000000,100.000000000000000,R1D,R12,SPlotOpen_220332,2004,continental
3284,34TEM79746119,21.964387400000000,42.098791700000000,34σEM33,21.964361000000000,42.098824999999998,E12b!,10.000000000000000,100.000000000000000,V32,R1F,SPlotOpen_220324,2004,continental
3281,34TEL94789976,22.136415299999999,41.543932200000000,34σEL44,22.136389999999999,41.543889999999998,Y-Gra,10.000000000000000,25.000000000000000,R1F,R13,SPlotOpen_220178,2007,continental
3283,34TEL93339856,22.118847599999999,41.533295899999999,34σEL44,22.118890000000000,41.533329999999999,Y-Gra,10.000000000000000,25.000000000000000,V32,V37,SPlotOpen_220183,2007,continental
281,34TDQ90863441,20.884967100000001,44.563013200000000,34σDQ41,20.884905000000000,44.562987999999997,E12b,10.000000000000000,100.000000000000000,R1A,R1B,SPlotOpen_1007997,2007,continental
272,34TDM89217785,20.869255299999999,42.252816099999997,34σDM43,20.869219999999999,42.252791999999999,Y-Gra,10.000000000000000,25.000000000000000,R1A,U37,SPlotOpen_1006592,1992,continental
5389,34TCR55471320,19.158011200000001,45.257487400000002,34σCR20,19.158055999999998,45.257500000000000,F31ba,10.000000000000000,,S32,V15,SPlotOpen_326857,2002,continental
5249,34TCR14946663,18.621694600000001,45.728512500000001,34σCR03,18.621710000000000,45.728521999999998,G16a,10.000000000000000,1200.000000000000000,T17,T1E,SPlotOpen_320835,2007,continental
5250,34TCR19936359,18.686900900000001,45.702489000000000,34σCR03,18.686948000000001,45.702502000000003,G1Aa,10.000000000000000,1600.000000000000000,T1E,T13,SPlotOpen_320861,2007,continental
5390,34TCR12874798,18.602284399999998,45.560236500000002,34σCR02,18.602222000000001,45.560277999999997,?,10.000000000000000,,V38,V15,SPlotOpen_326865,2002,continental
275,34TDP56461359,20.461727199999999,43.474003799999998,34σDP20,20.461673000000001,43.473987000000001,E22,10.000000000000000,,R1M,R1P,SPlotOpen_1006959,1992,continental
273,34TDP54440947,20.437097099999999,43.436787299999999,34σDP20,20.437099000000000,43.436819000000000,E22,10.000000000000000,,R22,R21,SPlotOpen_1006619,1992,continental
3427,34TDP22002182,20.034524900000001,43.545299399999998,34σDP11,20.034479999999999,43.545270000000002,H32b,15.000000000000000,20.000000000000000,U37,U38,SPlotOpen_227142,1991,continental
