field_1,MGRSid10,center_lon,center_lat,grid20id,Longitude,Latitude,ESy1,Location_u,Releve_are,PlantBert1,PlantBert2,SurveyID,year,FIRST_shor
226302,34TDP85560725,20.821688000000002,43.418043900000001,34σDP40,20.821670000000001,43.418059999999997,R,5.000000000000000,8.000000000000000,U32,U22,EVA2025_496920,2008,continental
129728,34TDP85747778,20.822040699999999,44.053091299999998,34σDP43,20.822008000000000,44.053066000000001,R1B,,100.000000000000000,R1B,R1A,EVA2025_1666276,2007,continental
129725,34TDP80908263,20.761443300000000,44.096647300000001,34σDP44,20.761424000000002,44.096666999999997,R1B,,100.000000000000000,R1B,R1A,EVA2025_1666267,2007,continental
129727,34TDP81187083,20.765360999999999,43.990414899999998,34σDP43,20.765404000000000,43.990419000000003,R1B,,100.000000000000000,R1B,R1A,EVA2025_1666274,2007,continental
129716,34TDP81428118,20.767990699999999,44.083605900000002,34σDP44,20.767941000000000,44.083564000000003,R1A,,100.000000000000000,R1A,U37,EVA2025_1666237,2007,continental
129719,34TDP81525555,20.770131400000000,43.852849100000000,34σDP42,20.770143999999998,43.852811000000003,R1B,,100.000000000000000,R1B,R1A,EVA2025_1666250,2007,continental
179640,34TDQ53514362,20.413817099999999,44.644480299999998,34σDQ22,20.413764000000000,44.644523000000000,T3M,50.000000000000000,900.000000000000000,T3M,T37,EVA2025_2679102,2014,continental
179641,34TDQ53714372,20.416329999999999,44.645393400000003,34σDQ22,20.416347999999999,44.645422000000003,T3M,50.000000000000000,900.000000000000000,T3M,T37,EVA2025_2679103,2014,continental
179642,34TDQ53734345,20.416606600000001,44.642964100000000,34σDQ22,20.416547999999999,44.642952000000001,T3M,50.000000000000000,900.000000000000000,T3M,T35,EVA2025_2679104,2014,continental
281,34TDQ90863441,20.884967100000001,44.563013200000000,34σDQ41,20.884905000000000,44.562987999999997,E12b,10.000000000000000,100.000000000000000,R1A,R1B,SPlotOpen_1007997,2007,continental
129729,34TDP86827736,20.835533800000000,44.049330099999999,34σDP43,20.835498000000001,44.049315000000000,R1B,,100.000000000000000,R1B,R1A,EVA2025_1666277,2007,continental
129714,34TDP87897746,20.848888500000001,44.050248900000000,34σDP43,20.848939000000001,44.050204999999998,R1B,,100.000000000000000,R1B,R22,EVA2025_1666232,2007,continental
179639,34TDQ53324351,20.411431300000000,44.643477699999998,34σDQ22,20.411480000000001,44.643452000000003,T3M,50.000000000000000,900.000000000000000,T3M,T36,EVA2025_2679101,2014,continental
179638,34TDQ53324373,20.411411300000001,44.645458200000000,34σDQ22,20.411422999999999,44.645479000000002,T3M,50.000000000000000,900.000000000000000,T3M,T3A,EVA2025_2679100,2014,continental
206056,34TDN67409991,20.597803100000000,43.351382800000003,34σDN34,20.597805999999999,43.351388999999998,V15,5.000000000000000,100.000000000000000,V38,V15,EVA2025_366285,2018,continental
206057,34TDN67459991,20.598420000000001,43.351385000000001,34σDN34,20.598361000000001,43.351388999999998,V15,5.000000000000000,100.000000000000000,V15,R57,EVA2025_366286,2018,continental
278645,34TDN81649634,20.773631099999999,43.319719700000000,34σDN44,20.773610000000001,43.319719999999997,Q24,3.000000000000000,16.000000000000000,Q24,Q42,EVA2025_807894,2014,continental
278644,34TDN81669643,20.773874800000002,43.320530599999998,34σDN44,20.773890000000002,43.320560000000000,Q24,3.000000000000000,16.000000000000000,Q24,Q42,EVA2025_807893,2014,continental
129648,34TDN34209266,20.189039699999999,43.283932000000000,34σDN14,20.189098999999999,43.283901000000000,R22,,50.000000000000000,R22,V11,EVA2025_1664896,2002,continental
234594,34TDN66406363,20.587669000000002,43.024653399999998,34σDN33,20.587692000000001,43.024669000000003,R55,,,T17,R55,EVA2025_541394,2006,continental
206059,34TDN66759972,20.589794300000001,43.349643499999999,34σDN34,20.589805999999999,43.349666999999997,R,5.000000000000000,100.000000000000000,R22,V15,EVA2025_366288,2018,continental
206058,34TDN66889974,20.591397099999998,43.349829399999997,34σDN34,20.591388999999999,43.349806000000001,V15,5.000000000000000,100.000000000000000,V15,R55,EVA2025_366287,2018,continental
179448,34TDN89558192,20.871456800000001,43.190023900000000,34σDN44,20.871500000000001,43.190049999999999,T,15.000000000000000,200.000000000000000,T36,Q54,EVA2025_2678077,2011,continental
179447,34TDN89638167,20.872446000000000,43.187773800000002,34σDN44,20.872489999999999,43.187790000000000,T,15.000000000000000,200.000000000000000,T36,T3M,EVA2025_2678076,2011,continental
179446,34TDN89668153,20.872817800000000,43.186513599999998,34σDN44,20.872760000000000,43.186509999999998,T,15.000000000000000,200.000000000000000,T36,T3M,EVA2025_2678075,2011,continental
179445,34TDN89878093,20.875413099999999,43.181113500000002,34σDN44,20.875450000000001,43.181100000000001,T,15.000000000000000,200.000000000000000,T36,T3M,EVA2025_2678074,2011,continental
278647,34TDN84589371,20.809963199999999,43.296103799999997,34σDN44,20.809999999999999,43.296109999999999,Q42,4.000000000000000,16.000000000000000,Q42,Q24,EVA2025_807896,2014,continental
278646,34TDN84619374,20.810332200000001,43.296374499999999,34σDN44,20.810279999999999,43.296390000000002,Q22,3.000000000000000,16.000000000000000,Q22,Q25,EVA2025_807895,2014,continental
278648,34TDN84969204,20.814693500000001,43.281073800000001,34σDN44,20.814720000000001,43.281109999999998,Q24,2.000000000000000,16.000000000000000,Q24,Q42,EVA2025_807897,2014,continental
179449,34TDN89498193,20.870718199999999,43.190113099999998,34σDN44,20.870719999999999,43.190100000000001,T,15.000000000000000,200.000000000000000,T36,T3M,EVA2025_2678078,2011,continental
251044,34TCR48444273,19.059390100000002,45.521664299999998,34σCR22,19.059443999999999,45.521667000000001,V37,,,V37,N32,EVA2025_661775,2002,continental
272,34TDM89217785,20.869255299999999,42.252816099999997,34σDM43,20.869219999999999,42.252791999999999,Y-Gra,10.000000000000000,25.000000000000000,R1A,U37,SPlotOpen_1006592,1992,continental
129647,34TDN31669036,20.158021600000001,43.262997300000002,34σDN14,20.158003999999998,43.263007000000002,R22,,50.000000000000000,R22,N1H,EVA2025_1664895,2002,continental
206082,34TDP57200631,20.471447300000001,43.408497300000001,34σDP20,20.471444000000002,43.408472000000003,R21,5.000000000000000,100.000000000000000,V15,R21,EVA2025_366308,2018,continental
206083,34TDP57240859,20.471762800000000,43.429028799999998,34σDP20,20.471778000000000,43.429028000000002,V15,5.000000000000000,100.000000000000000,V15,R55,EVA2025_366309,2018,continental
206074,34TDP57480567,20.474955099999999,43.402750599999997,34σDP20,20.475000000000001,43.402749999999997,R,5.000000000000000,100.000000000000000,V15,R21,EVA2025_366300,2018,continental
206085,34TDP57540823,20.475497200000000,43.425804399999997,34σDP20,20.475472000000000,43.425806000000001,V15,5.000000000000000,100.000000000000000,V15,R55,EVA2025_366310,2018,continental
129735,34TDP55476725,20.445046399999999,43.957075500000002,34σDP23,20.445010000000000,43.957075000000003,R1B,,100.000000000000000,R1B,R16,EVA2025_1666294,2007,continental
129734,34TDP56166842,20.453549599999999,43.967650599999999,34σDP23,20.453551000000001,43.967612000000003,R1B,,100.000000000000000,R16,R1B,EVA2025_1666292,2007,continental
275,34TDP56461359,20.461727199999999,43.474003799999998,34σDP20,20.461673000000001,43.473987000000001,E22,10.000000000000000,,R1M,R1P,SPlotOpen_1006959,1992,continental
206086,34TDP56860839,20.467083899999999,43.427206200000001,34σDP20,20.467082999999999,43.427166999999997,V15,5.000000000000000,100.000000000000000,V15,R57,EVA2025_366311,2018,continental
206066,34TDP58790673,20.491052600000000,43.412368100000002,34σDP20,20.491028000000000,43.412388999999997,V15,5.000000000000000,100.000000000000000,V15,U37,EVA2025_366294,2018,continental
206069,34TDP58900673,20.492411199999999,43.412374100000001,34σDP20,20.492443999999999,43.412388999999997,V,5.000000000000000,100.000000000000000,V38,R22,EVA2025_366297,2018,continental
206068,34TDP59050683,20.494256400000001,43.413282700000003,34σDP20,20.494306000000002,43.413277999999998,V15,5.000000000000000,100.000000000000000,V15,V37,EVA2025_366296,2018,continental
234622,34TDP62058647,20.525677000000002,44.130484500000001,34σDP34,20.525700000000001,44.130481000000003,Sa,,400.000000000000000,T1E,U37,EVA2025_541639,2009,continental
129706,34TDP57698907,20.470968899999999,44.153652800000003,34σDP24,20.470972000000000,44.153616999999997,R1A,,100.000000000000000,R1A,U37,EVA2025_1666208,2007,continental
206070,34TDP57940678,20.480550300000001,43.412771100000001,34σDP20,20.480499999999999,43.412750000000003,V15,5.000000000000000,100.000000000000000,V15,R36,EVA2025_366298,2018,continental
206087,34TDP58130718,20.482866399999999,43.416383300000000,34σDP20,20.482925000000002,43.416367000000001,V15,5.000000000000000,100.000000000000000,V15,R57,EVA2025_366313,2018,continental
206067,34TDP58720674,20.490187299999999,43.412454300000000,34σDP20,20.490193999999999,43.412444000000001,R22,5.000000000000000,100.000000000000000,R22,V38,EVA2025_366295,2018,continental
129736,34TDP54116835,20.428001399999999,43.966895299999997,34σDP23,20.427978000000000,43.966853000000000,R1B,,100.000000000000000,R1B,R16,EVA2025_1666296,2007,continental
206078,34TDP54300889,20.435415800000001,43.431556399999998,34σDP20,20.435444000000000,43.431528000000000,V15,5.000000000000000,100.000000000000000,R57,V15,EVA2025_366304,2018,continental
206076,34TDP54370890,20.436279800000001,43.431650699999999,34σDP20,20.436250000000001,43.431666999999997,V15,5.000000000000000,100.000000000000000,V15,U27,EVA2025_366302,2018,continental
273,34TDP54440947,20.437097099999999,43.436787299999999,34σDP20,20.437099000000000,43.436819000000000,E22,10.000000000000000,,R22,R21,SPlotOpen_1006619,1992,continental
