eunis_level,eunis_code,eunis_name,raster_value
3,MH31,Arctic completely mixed water column with full salinity,20301
3,MH32,Atlantic completely mixed water column with full salinity,20302
3,MH33,Baltic completely mixed water column with full salinity,20303
3,MH34,Black Sea completely mixed water column with full salinity,20304
3,MH35,Mediterranean completely  mixed water column with full salinity,20305
2,MH4,Partially mixed water column with reduced salinity and medium or long residence time,20400
3,MH41,Arctic partially mixed water column with reduced salinity and medium or long residence time,20401
3,MH42,Atlantic partially mixed water column with reduced salinity and medium or long residence time,20402
3,MH43,Baltic partially mixed water column with reduced salinity and medium or long residence time,20403
3,MH44,Black Sea partially mixed water column with reduced salinity and medium or long residence time,20404
3,MH45,Mediterranean partially mixed water column with reduced salinity and medium or long residence time,20405
2,MH5,Unstratified water column with reduced salinity,20500
3,MH51,Arctic unstratified water column with reduced salinity,20501
3,MH52,Atlantic unstratified water column with reduced salinity,20502
3,MH53,Baltic unstratified water column with reduced salinity,20503
3,MH54,Black Sea unstratified water column with reduced salinity,20504
3,MH55,Mediterranean unstratified water column with reduced salinity,20505
2,MH6,Vertically stratified water column with reduced salinity,20600
3,MH61,Arctic vertically stratified water column with reduced salinity,20601
3,MH62,Atlantic vertically stratified water column with reduced salinity,20602
3,MH63,Baltic vertically stratified water column with reduced salinity,20603
3,MH64,Black Sea vertically stratified water column with reduced salinity,20604
3,MH65,Mediterranean vertically stratified water column with reduced salinity,20605
2,MH7,Fronts in reduced salinity water column,20700
3,MH71,Arctic fronts in reduced salinity water column,20701
3,MH72,Atlantic fronts in reduced salinity water column,20702
3,MH73,Baltic fronts in reduced salinity water column,20703
3,MH74,Black Sea fronts in reduced salinity water column,20704
3,MH75,Mediterranean fronts in reduced salinity water column,20705
2,MH8,Unstratified water column with full salinity,20800
3,MH81,Arctic unstratified water column with full salinity,20801
3,MH82,Atlantic unstratified water column with full salinity,20802
3,MH83,Baltic unstratified water column with full salinity,20803
3,MH84,Black Sea unstratified water column with full salinity,20804
3,MH85,Mediterranean unstratified water column with full salinity,20805
2,MH9,Vertically stratified water column with full salinity,20900
3,MH91,Arctic vertically stratified water column with full salinity,20901
3,MH92,Atlantic vertically stratified water column with full salinity,20902
3,MH93,Baltic vertically stratified water column with full salinity,20903
3,MH94,Black Sea vertically stratified water column with full salinity,20904
3,MH95,Mediterranean vertically stratified water column with full salinity,20905
2,MHA,Fronts in full salinity water column,21000
3,MHA1,Arctic fronts in full salinity water column,21001
3,MHA2,Atlantic fronts in full salinity water column,21002
3,MHA3,Baltic fronts in full salinity water column,21003
3,MHA4,Black Sea fronts in full salinity water column,21004
3,MHA5,Mediterranean fronts in full salinity water column,21005
1,MJ,Ice-associated marine habitats,30000
2,MJ1,Sea ice,30100
3,MJ11,Arctic sea ice,30101
3,MJ12,Baltic sea ice,30102
2,MJ2,Freshwater ice,30200
3,MJ21,Arctic freshwater ice,30201
2,MJ3,Brine channels,30300
3,MJ31,Arctic brine channels,30301
3,MJ32,Baltic brine channels,30302
2,MJ4,Under-ice habitat,30400
3,MJ41,Arctic under-ice habitat,30401
3,MJ42,Baltic under-ice habitat,30402
1,N,Coastal habitats ,40000
2,N1,Coastal dunes and sandy shores ,40100
3,N11,Atlantic and Baltic and Arctic sand beach,40101
3,N12,Mediterranean and Black Sea sand beach,40102
3,N13 ,Atlantic and Baltic shifting coastal dune,40103
3,N14,Mediterranean and Macaronesian and Black Sea shifting coastal dune,40104
3,N15,Atlantic and Baltic coastal dune grassland (grey dune),40105
3,N16,Mediterranean and Macaronesian coastal dune grassland (grey dune),40106
3,N17,Black Sea coastal dune grassland (grey dune),40107
3,N18,Atlantic and Baltic coastal Empetrum heath,40108
3,N19,Atlantic coastal Calluna and Ulex heath,40109
3,N1A,Atlantic and Baltic coastal dune scrub,40110
3,N1B,Mediterranean and Black Sea coastal dune scrub,40111
3,N1C,Macaronesian coastal dune scrub,40112
3,N1D,Atlantic and Baltic broad-leaved coastal dune forest,40113
3,N1E,Black Sea broad-leaved coastal dune forest,40114
3,N1F,Baltic coniferous coastal dune forest,40115
3,N1G,Mediterranean coniferous coastal dune forest,40116
3,N1H,Atlantic and Baltic moist and wet dune slack,40117
3,N1J,Mediterranean and Black Sea moist and wet dune slack,40118
2,N2,Coastal shingle,40200
3,N21,Atlantic and Baltic and Arctic coastal shingle beach,40201
3,N22,Mediterranean and Black Sea coastal shingle beach,40202
2,N3,Rock cliffs & ledges and shores including the supralittoral ,40300
3,N31,Atlantic and Baltic rocky sea cliff and shore,40301
3,N32,Mediterranean and Black Sea rocky sea cliff and shore,40302
3,N33,Macaronesian rocky sea cliff and shore,40303
3,N34,Atlantic and Baltic soft sea cliff,40304
3,N35,Mediterranean and Black Sea soft sea cliff,40305
1,Q,Wetlands,50000
2,Q1,Raised and blanket bogs ,50100
3,Q11,Raised bog,50101
3,Q12 ,Blanket bog,50102
3,Q13,Ombrotrophic percolation mire,50103
2,Q2,Valley mires & poor fens and transition mires ,50200
3,Q21,Oceanic valley mire,50201
3,Q22,Poor fen,50202
3,Q23,Relict mire of Mediterranean mountains ,50203
3,Q24,Intermediate fen and soft-water spring mire,50204
3,Q25,Non-calcareous quaking mire,50205
2,Q3,Palsa mires ,50300
3,Q31,Palsa mire,50301
2,Q4,Base-rich fens and calcareous spring mires,50400
3,Q41,Alkaline calcareous carbonate-rich small-sedge spring fen,50401
3,Q42,Extremely rich moss-sedge fen,50402
3,Q43,Tall-sedge base-rich fen,50403
3,Q44,Calcareous quaking mire,50404
3,Q45,Arctic-alpine rich fen,50405
3,Q46,Carpathian travertine fen with halophytes,50406
2,Q5,Helophyte beds,50500
3,Q51,Tall-helophyte bed,50501
3,Q52,Small-helophyte bed,50502
3,Q53,Tall-sedge bed,50503
3,Q54,Inland saline or brackish helophyte bed ,50504
2,Q6,Periodically exposed shores,50600
3,Q61,Periodically exposed shore with stable and eutrophic sediments with pioneer or ephemeral vegetation,50601
3,Q62,Periodically exposed shore with stable and mesotrophic sediments with pioneer or ephemeral vegetation,50602
3,Q63,Periodically exposed saline shore with pioneer or ephemeral vegetation,50603
1,R,Grasslands and lands dominated by forbs or mosses or lichens,60000
2,R1,Dry grasslands,60100
3,R11,Pannonian and Pontic sandy steppe,60101
3,R12,Cryptogam- and annual-dominated vegetation on siliceous rock outcrops ,60102
3,R13,Cryptogam- and annual-dominated vegetation on calcareous and ultramafic rock outcrops,60103
3,R14,Perennial rocky grassland of the Italian Peninsula ,60104
3,R15,Continental dry rocky steppic grassland and dwarf scrub on chalk outcrops,60105
3,R16,Perennial rocky grassland of Central and South-Eastern Europe,60106
3,R17,Heavy-metal dry grassland of the Balkans,60107
3,R18,Perennial rocky calcareous grassland of subatlantic-submediterranean Europe,60108
3,R19,Dry steppic submediterranean pasture of the Amphi-Adriatic region,60109
3,R1A,Semi-dry perennial calcareous grassland (meadow steppe),60110
3,R1B,Continental dry grassland (true steppe),60111
3,R1C,Desert steppe,60112
3,R1D,Mediterranean closely grazed dry grassland,60113
3,R1E,Mediterranean tall perennial dry grassland,60114
