Observations	PlotObservationID
Sesleria tenuifolia, Centaurea kerneriana, Aquilegia grata, Asperula purpurea, Asperula scutellaris, Asplenium ruta-muraria, Athamanta turbith, Clematis vitalba, Dianthus petraeus, Edraianthus tenuifolius, Frangula alnus, Fraxinus ornus, Geranium robertianum, Hieracium waldsteinii, Hippocrepis emerus, Inula ensifolia, Lactuca muralis, Leontodon crispus, Lilium martagon, Polygonatum hirtum, Pseudofumaria alba, Seseli rigidum, Stipa calamagrostis, Thalictrum aquilegiifolium	227097
Sesleria tenuifolia, Dianthus petraeus, Hippocrepis emerus, Aquilegia grata, Asperula purpurea, Campanula rotundifolia, Campanula sibirica, Centaurea kerneriana, Clematis vitalba, Edraianthus graminifolius, Inula ensifolia, Lactuca muralis, Leontodon crispus, Satureja montana, Stipa calamagrostis	227098
Stipa calamagrostis, Melica ciliata, Satureja montana, Aethionema saxatile, Asperula purpurea, Aurinia petraea, Campanula bononiensis, Campanula sibirica, Cardamine glauca, Clematis vitalba, Clinopodium vulgare, Frangula alnus, Hieracium, Hippocrepis emerus, Melampyrum nemorosum, Origanum vulgare, Ostrya carpinifolia, Peucedanum austriacum, Pseudofumaria alba, Scabiosa columbaria, Sedum hispanicum, Seseli rigidum, Silene vulgaris, Stachys recta, Tussilago farfara, Verbascum nigrum	227103
Sesleria rigida, Dianthus petraeus, Ramonda nathaliae, Ramonda serbica, Allium flavum, Asperula aristata, Asperula purpurea, Asplenium trichomanes, Campanula grossekii, Draba lasiocarpa, Hieracium bifidum, Hieracium murorum, Hippocrepis emerus, Jurinea mollis, Leontodon crispus, Paronychia kapela, Sedum album, Silene flavescens, Taraxacum erythrospermum	227115
Asplenium trichomanes, Asplenium viride, Campanula rotundifolia, Cystopteris fragilis, Hieracium humile, Saxifraga paniculata	227142
Saxifraga paniculata, Aquilegia vulgaris, Campanula rotundifolia, Carum graecum, Cystopteris fragilis, Daphne oleoides, Edraianthus graminifolius, Erysimum comatum, Gymnocarpium dryopteris, Hieracium bifidum, Leucanthemum vulgare, Ramonda nathaliae, Selaginella helvetica, Sesleria rigida, Draba aizoides, Silene pusilla	227212
Anthyllis vulneraria, Arctostaphylos uva-ursi, Carum graecum, Dianthus petraeus, Edraianthus graminifolius, Erysimum comatum, Potentilla apennina, Ramonda nathaliae, Ranunculus montanus, Anthyllis montana, Asplenium viride, Campanula rotundifolia, Carex humilis, Cystopteris fragilis, Daphne oleoides, Draba aizoides, Dryas octopetala, Hieracium marmoreum, Poa badensis, Saxifraga paniculata, Sesleria rigida, Silene pusilla, Thymus praecox	227218
Agrostis stolonifera, Juncus gerardii, Trifolium fragiferum, Lotus tenuis, Potentilla anserina, Scorzonera parviflora, Bolboschoenus maritimus, Eleocharis palustris, Taraxacum bessarabicum	227252
Alopecurus geniculatus, Rorippa sylvestris, Agrostis stolonifera, Eleocharis palustris, Gratiola officinalis, Inula britannica, Trifolium repens	227266
Carex echinata, Carex nigra, Drosera rotundifolia, Juncus conglomeratus, Nardus stricta, Potentilla erecta, Alnus alnobetula, Deschampsia cespitosa, Eriophorum angustifolium, Festuca nigrescens, Pinguicula vulgaris, Pseudorchis albida	465750
Carex echinata, Nardus stricta, Pinguicula vulgaris, Potentilla erecta, Alnus alnobetula, Carex nigra, Drosera rotundifolia, Erica spiculifolia, Eriophorum angustifolium, Festuca nigrescens, Gentiana asclepiadea, Juncus conglomeratus, Juniperus communis, Pseudorchis albida, Vaccinium myrtillus, Vaccinium uliginosum	465753
Alnus alnobetula, Juncus conglomeratus, Salix silesiaca, Betula pendula, Carex echinata, Festuca nigrescens, Nardus stricta, Potentilla erecta, Vaccinium myrtillus, Athyrium filix-femina, Dianthus superbus, Drosera rotundifolia, Erica spiculifolia, Galium uliginosum, Gentiana asclepiadea, Geranium sylvaticum, Geum coccineum, Hypericum tetrapterum, Juniperus communis, Persicaria bistorta, Picea abies, Populus tremula, Primula elatior, Rosa pendulina, Rubus proiectus, Senecio duriaei, Silene vulgaris, Soldanella alpina, Thalictrum aquilegiifolium, Veratrum lobelianum	465755
